"","Estimate","Std.Error","p","lowerCI","upperCI","typeDisturbance","disturbanceDimension","Species","Significancy"
"124",0.198933951101258,0.3236725888054,0.538809163256625,-0.435464322957325,0.833332225159842,"BOTH","LOCAL UNDISTURBED","BRCR","NO"
"86",0.204239517169016,0.349630773066799,0.559114200484327,-0.481036798041909,0.889515832379942,"PERMANENT","LOCAL UNDISTURBED","RBNU","NO"
"29",0.20877207766819,0.172415736999677,0.225947379081435,-0.129162766851177,0.546706922187557,"TRANSITIONAL","NEIGHBORHOOD","WETA","NO"
"135",0.239437016556401,0.107315211517989,0.0256707736361191,0.0290992019811424,0.44977483113166,"BOTH","LOCAL UNDISTURBED","YRWA","YES"
"45",0.340190312664949,0.129859816402857,0.00880140026327677,0.0856650725153486,0.594715552814549,"TRANSITIONAL","LOCAL UNDISTURBED","YRWA","YES"
"131",0.350997030535295,0.209154026848226,0.0933129672737973,-0.0589448620872276,0.760938923157818,"BOTH","LOCAL UNDISTURBED","RBNU","YES"
"36",0.389411102143282,0.451974441967332,0.388919944380041,-0.496458804112689,1.27528100839925,"TRANSITIONAL","LOCAL UNDISTURBED","CAWA","NO"
"34",0.392403094771814,0.418125275130186,0.347996701210026,-0.42712244448335,1.21192863402698,"TRANSITIONAL","LOCAL UNDISTURBED","BRCR","NO"
"41",0.401838405804225,0.251064336673599,0.109478935647136,-0.0902476940760284,0.893924505684478,"TRANSITIONAL","LOCAL UNDISTURBED","RBNU","NO"
"123",0.412442869657905,0.404733802249463,0.308180533488388,-0.380835382751042,1.20572112206685,"BOTH","LOCAL UNDISTURBED","BOCH","NO"
"55",0.418915096751657,0.163540617399548,0.0104210591174014,0.0983754866485426,0.739454706854771,"PERMANENT","LOCAL","PISI","YES"
"2",0.453827483281266,0.118897179802759,0.000135098219409157,0.220789010867858,0.686865955694675,"TRANSITIONAL","LOCAL","BLPW","YES"
"40",0.465756808743941,0.319147090967859,0.144460610385392,-0.159771489553063,1.09128510704095,"TRANSITIONAL","LOCAL UNDISTURBED","PISI","NO"
"79",0.507027230899436,0.516700741809774,0.326455515630379,-0.505706223047721,1.51976068484659,"PERMANENT","LOCAL UNDISTURBED","BRCR","NO"
"128",0.585148255829486,0.289894722550719,0.0435407364912181,0.0169545996300758,1.1533419120289,"BOTH","LOCAL UNDISTURBED","CONW","YES"
"134",0.668012703524926,0.311541654357385,0.0320155570243145,0.0573910609844515,1.2786343460654,"BOTH","LOCAL UNDISTURBED","WETA","YES"
"83",0.695037424292721,0.49371403412068,0.159198215371745,-0.272642082583812,1.66271693116925,"PERMANENT","LOCAL UNDISTURBED","CONW","NO"
"44",0.807864033609659,0.427608653257911,0.0588569642766125,-0.0302489267758472,1.64597699399516,"TRANSITIONAL","LOCAL UNDISTURBED","WETA","YES"
"89",0.850020354687066,0.462550333941632,0.0661092994731722,-0.0565782998385335,1.75661900921267,"PERMANENT","LOCAL UNDISTURBED","WETA","YES"
